,snap,redshift,time,halo_mass,SFR@10Myr,SFR@100Myr,SFR@1000Myr,velocity_mass,velocity_vol,velocity_rms_mass,velocity_rms_vol,velocity_spread,sound_mass,sound_vol,sound_rms_mass,sound_rms_vol,sound_spread,thermal_mass,thermal_vol,thermal_rms_mass,thermal_rms_vol,thermal_spread,mach_number_mass,mach_number_vol,mach_number_rms_mass,mach_number_rms_vol,mach_number_spread
390,524,0.11942959470594006,12.265914411941477,8411891343.75,0.0,5.907836585924045e-05,4.477765289022855e-05,46.221500396728516,79.23326110839844,54.379154205322266,85.50214385986328,28.64577293395996,8.946993827819824,4.24425745010376,9.88685131072998,4.900179386138916,4.203290939331055,12.003657341003418,5.6942667961120605,13.264603614807129,6.574283599853516,5.639301776885986,7.498580455780029,28.116914749145508,11.054471015930176,35.924110412597656,8.122763633728027
401,525,0.11743767830760543,12.289475479144093,8413407467.0,0.0,5.37210520642119e-05,4.479797585495135e-05,46.26408004760742,79.29779052734375,54.430030822753906,85.57157897949219,28.673770904541016,8.935647964477539,4.237720489501953,9.875823020935059,4.892560005187988,4.201508045196533,11.98843765258789,5.6854939460754395,13.249794960021973,6.564058780670166,5.636910915374756,7.516396999359131,28.184720993041992,11.080479621887207,36.010467529296875,8.141714096069336
411,526,0.11545295007078904,12.313014851457092,8414454632.75,0.0,8.485739502103898e-06,4.405372678228479e-05,46.30540466308594,79.37964630126953,54.483951568603516,85.6642837524414,28.709325790405273,8.922595024108887,4.231195449829102,9.860284805297852,4.884964466094971,4.192789554595947,11.970921516418457,5.676750659942627,13.228960037231445,6.5538649559021,5.625216960906982,7.535077095031738,28.25979232788086,11.109257698059082,36.10872268676758,8.1636323928833
421,527,0.11347514497806355,12.336535204309609,8416748237.5,0.0001663525908835217,2.5089212183296916e-05,4.5206939452178235e-05,46.34718322753906,79.46200561523438,54.53849411010742,85.75637817382812,28.745397567749023,8.91401481628418,4.227766990661621,9.849916458129883,4.881040573120117,4.186749458312988,11.959392547607422,5.672153472900391,13.215041160583496,6.548604488372803,5.617112636566162,7.5488739013671875,28.31365966796875,11.129959106445312,36.17868423461914,8.179068565368652
431,528,0.11150446801003389,12.360033634031234,8419480141.5,0.0,4.8836926749169286e-05,4.843697717290258e-05,46.40092468261719,79.54186248779297,54.597530364990234,85.83934783935547,28.770896911621094,8.90100383758545,4.221262454986572,9.836392402648926,4.8734540939331055,4.182492733001709,11.9419584274292,5.6634087562561035,13.196913719177246,6.538425445556641,5.61140251159668,7.568335056304932,28.387426376342773,11.157634735107422,36.27281188964844,8.198755264282227
441,529,0.10954062665795039,12.383513165562853,8422627387.0,0.0,8.600332733830771e-05,5.217320013045169e-05,46.45964050292969,79.6263198852539,54.65945053100586,85.92744445800781,28.79377555847168,8.894539833068848,4.217838287353516,9.829286575317383,4.869534492492676,4.1794328689575195,11.933269500732422,5.65881872177124,13.187371253967285,6.533170223236084,5.607297897338867,7.582901954650879,28.441537857055664,11.177928924560547,36.34135437011719,8.212928771972656
325,530,0.10758383503276336,12.406970778698678,8424964371.75,0.0,8.579335103978652e-05,4.3524829963293674e-05,46.511993408203125,79.73141479492188,54.72343826293945,86.04286193847656,28.83061408996582,8.880223274230957,4.211330413818359,9.812239646911621,4.86194372177124,4.16984224319458,11.914078712463379,5.650086402893066,13.164496421813965,6.522984504699707,5.594427108764648,7.603328704833984,28.525623321533203,11.208870887756348,36.452152252197266,8.23620319366455
339,531,0.10563380194001493,12.430409506491854,8427339579.0,0.00016013606032861159,0.00010704639147988957,1.9750199671355532e-05,46.56460952758789,79.82769775390625,54.78602600097656,86.14912414550781,28.86449432373047,8.875348091125488,4.207919597625732,9.811068534851074,4.858046531677246,4.177567958831787,11.907516479492188,5.645518779754639,13.16292667388916,6.517753601074219,5.604800224304199,7.617941856384277,28.58498764038086,11.231414794921875,36.52995300292969,8.253378868103027
356,532,0.1036906366512822,12.453827585410409,8429752312.0,0.0,6.377355519020518e-05,1.7181274217939002e-05,46.605228424072266,79.90279388427734,54.837913513183594,86.23233795166016,28.897600173950195,8.8638334274292,4.201417446136475,9.797496795654297,4.850473880767822,4.1702470779418945,11.892087936401367,5.636797904968262,13.144729614257812,6.507594108581543,5.594974517822266,7.636106491088867,28.658084869384766,11.258957862854004,36.62468719482422,8.274103164672852
373,533,0.10175440972362049,12.477223705338908,8431038938.5,0.0,2.748853820437181e-05,1.726921373541673e-05,46.64252853393555,79.98633575439453,54.891475677490234,86.3260498046875,28.939016342163086,8.858427047729492,4.198011875152588,9.796592712402344,4.846563339233398,4.179382801055908,11.884833335876465,5.632226943969727,13.143506050109863,6.502346038818359,5.607231616973877,7.648943901062012,28.71289825439453,11.27966594696045,36.696475982666016,8.290436744689941
